channel,source,cutoff_min,plateau_pass,start_min,end_min,samples,baseline_mdeg,tail_amplitude_mdeg,Rinf_mdeg,kobs_per_s,tau_s,tau_min,t95_experiment_min,t99_experiment_min,remaining_tail_mdeg_at_cutoff,rmse_mdeg,residual_lag1,parameter_boundary,rate_stable_20pct,joint_exploratory_gate
L1 670nm,Vendor,58.0,False,43.57848333333333,57.90773333333333,107,94.95609806532562,7.48711531889635,102.44321338422196,0.005993590506645204,166.8448985447507,2.7807483090791782,51.90886078747251,56.38430254104156,0.04328990463950909,1.1574351964853355,0.32643859472281406,False,True,False
L1 670nm,Centroid + vendor TIR,48.0,False,43.57848333333333,47.90298333333333,33,89.6863953807562,5.074405199171154,94.76080057992735,0.007888485562117723,126.76704446316342,2.112784074386057,49.90781877202254,53.30821356212645,0.6553302100652502,1.4342719067680518,0.535782597556747,False,False,False
L1 670nm,Centroid + vendor TIR,49.0,False,43.57848333333333,48.98441666666667,41,89.7937111052206,5.736403593465196,95.5301146986858,0.006018841295634087,166.14493569142192,2.7690822615236987,51.873912432305744,56.330578406650744,0.8143094504356384,1.3162668199694696,0.5331138564809528,False,False,False
L1 670nm,Centroid + vendor TIR,50.0,False,43.57848333333333,49.9294,48,89.7561634113884,5.569117558607925,95.32528096999633,0.006477750398698227,154.37458044091366,2.5729096740152277,51.286231880720024,55.4271702553486,0.47182715177755524,1.2225589087959194,0.5297946700451789,False,False,False
L1 670nm,Centroid + vendor TIR,51.0,False,43.57848333333333,50.87656666666667,55,89.72238669728787,5.4785062450552315,95.2008929423431,0.006824384154018712,146.5333687892005,2.4422228131533417,50.894729033906614,54.82533502000706,0.27597003872570774,1.1551681383888135,0.5203072969988959,False,True,False
L1 670nm,Centroid + vendor TIR,52.0,False,43.57848333333333,51.95926666666666,63,89.59017235479658,5.207963773900765,94.79813612869734,0.008251289777623214,121.19317427342253,2.0198862378903755,49.629521725089084,52.880403215153734,0.08217144992350983,1.1383169607560377,0.5079034310574206,False,False,False
L1 670nm,Centroid + vendor TIR,53.0,False,43.57848333333333,52.90725,70,89.587864430892,5.207935377219427,94.79579980811143,0.008267241011929286,120.95933801337611,2.015988966889602,49.61784654457328,52.862455618934256,0.050934934943733245,1.0868027667886604,0.4992827575501747,False,True,False
L1 670nm,Centroid + vendor TIR,54.0,False,43.57848333333333,53.98918333333334,78,89.52524011987275,5.124239065597778,94.64947918547053,0.008961604384377595,111.58716197551186,1.8597860329251976,49.14990437407229,52.14311452447752,0.018990575544105572,1.0554331887166397,0.5142728181914897,False,True,False
L1 670nm,Centroid + vendor TIR,55.0,False,43.57848333333333,54.93505,85,89.49901459152673,5.091853617491898,94.59086820901862,0.009267905617219137,107.89924296834316,1.7983207161390526,48.96577074087182,51.86005628014165,0.00921011126954356,1.0177268732846916,0.5088358728424839,False,True,False
L1 670nm,Centroid + vendor TIR,56.0,False,43.57848333333333,55.8809,92,89.44852113511057,5.020277877037067,94.46879901214763,0.009934485514846748,100.65946530452274,1.677657755075379,48.60429681419078,51.304382809298176,0.003281004924160417,1.0044487201592776,0.5241168766810687,False,True,False
