scan_index,channel_id,time_min,direction,DipDepth,RawMinimumMotor,SPRMotor,SPRQuality,TIREdgeSlope,TIRTemplateRelativeRMSE,TIRMotor,TIRQuality,DeltaSPRMotor,SPRAngleEmpirical,DeltaSPRAngle,DeltaTIRMotor,TIRAngleEmpirical,DeltaTIRAngle,BulkSensitivity,PureKineticsCandidate,AngleCalibrationRMSEDeg
55,6,7.58735,Forward,0.6104230475156737,16235.0,16236.667212508086,ok,0.0005386540072046633,0.0016364155615558478,14455.42966504956,ok,-80.47729340667138,63.90716119703919,-0.11693477773232402,-69.75138330350819,61.31899492201302,-0.101349861033494,,,0.0032809664999374553
56,6,7.7224,Forward,0.6085875195619354,16240.0,16238.46927958087,ok,0.0005259837599007645,0.0015482943315331822,14456.597151687774,ok,-78.67522633388762,63.909779628943326,-0.11431634582818596,-68.58389666529365,61.32069129852826,-0.09965348451825501,,,0.0032809664999374553
57,6,7.857983333333333,Forward,0.6048377612011918,16240.0,16242.59165921008,ok,0.0005334911154926107,0.0010747367281346283,14459.760095840524,ok,-74.552846704677,63.91576951162034,-0.10832646315116685,-65.42095251254432,61.32528710631236,-0.09505767673415728,,,0.0032809664999374553
58,6,7.993816666666667,Forward,0.5983796914434688,16245.0,16249.553232525579,ok,0.0005363029089808431,0.001955443985438518,14465.876184349376,ok,-67.59127338917824,63.92588478754298,-0.09821118722853447,-59.30486400369227,61.33417387946413,-0.08617090358238341,,,0.0032809664999374553
59,6,8.129116666666667,Forward,0.5894783132701256,16255.0,16259.037468652508,ok,0.0005313175857829644,0.0015729306393719375,14473.41860495786,ok,-58.10703726224892,63.9396655323533,-0.0844304424182049,-51.76244339520781,61.34513313567271,-0.07521164737380276,,,0.0032809664999374553
60,6,8.264166666666666,Forward,0.5797687126612726,16270.0,16269.428410766403,ok,0.0005406362441171285,0.0013103640040272831,14482.744211804495,ok,-47.716095148354725,63.95476373527593,-0.06933223949557855,-42.43683654857341,61.35868338963465,-0.061661393411859326,,,0.0032809664999374553
61,6,8.399233333333333,Forward,0.5707469176392567,16275.0,16278.320722336452,ok,0.0005421736561415944,0.0020574124224849257,14491.888158217262,ok,-38.823783578305665,63.96768440436101,-0.056411570410501426,-33.292890135806374,61.3719696881185,-0.04837509492801199,,,0.0032809664999374553
62,6,8.534,Forward,0.5641308554776001,16280.0,16285.136138884121,ok,0.000547177818463778,0.0015098798100402976,14497.253512598852,ok,-32.00836703063578,63.97758731219276,-0.04650866257875127,-27.92753575421557,61.379765632732294,-0.040579150314217834,,,0.0032809664999374553
63,6,8.669833333333333,Forward,0.5597430781314165,16285.0,16289.433022536818,ok,0.000540259305980572,0.0017249898723419785,14501.422713891976,ok,-27.711483377939658,63.983830751970615,-0.04026522280089182,-23.75833446109209,61.3858235480261,-0.034521235020407805,,,0.0032809664999374553
64,6,8.805133333333334,Forward,0.5571487891825941,16290.0,16291.979920234104,ok,0.0005401479707015458,0.0023343258860851375,14504.098055436421,ok,-25.164585680653545,63.98753143453004,-0.03656454024147525,-21.082992916646617,61.38971086152306,-0.03063392152345749,,,0.0032809664999374553
65,6,8.94045,Forward,0.5554012494340054,16290.0,16293.550816394956,ok,0.0005422430829763976,0.002133290454410218,14505.60993032564,ok,-23.593689519801046,63.98981397144988,-0.03428200332163121,-19.571118027428383,61.3919076396035,-0.028437143443006282,,,0.0032809664999374553
66,6,9.076033333333333,Forward,0.5542370544496176,16295.0,16294.642480443947,ok,0.0005410080952359316,0.0025428146005658167,14506.584497423277,ok,-22.502025470810622,63.991400176546044,-0.03269579822546825,-18.596550929791192,61.393323700980865,-0.027021082065648953,,,0.0032809664999374553
67,6,9.210816666666666,Forward,0.5535021059144354,16295.0,16295.513682974157,ok,0.0005393823452890334,0.002420395647061051,14506.934081000118,ok,-21.63082294060041,63.99266604757522,-0.03142992719629266,-18.246967352950378,61.39383165143653,-0.02651313160998213,,,0.0032809664999374553
68,6,9.345583333333334,Forward,0.5528963157391306,16295.0,16296.164099538659,ok,0.0005415781545918095,0.0026678133273289914,14507.45912807588,ok,-20.980406376098472,63.9936111131109,-0.030484861660612615,-17.721920277188474,61.39459455312599,-0.025750229920520798,,,0.0032809664999374553
69,6,9.480616666666666,Forward,0.5523379888944429,16295.0,16296.66962668858,ok,0.000539972014503041,0.0017776108610301146,14507.910575003676,ok,-20.474879226178018,63.99434565203997,-0.029750322731539942,-17.270473349391978,61.39525051263861,-0.025094270407903196,,,0.0032809664999374553
70,6,9.615916666666667,Forward,0.5518539378692837,16295.0,16297.210114398209,ok,0.0005526575203671682,0.0032372501712480636,14507.826510003239,ok,-19.934391516548203,63.99513098921419,-0.028964985557323096,-17.354538349829454,61.395128364865926,-0.025216418180586727,,,0.0032809664999374553
71,6,9.7507,Forward,0.5512916257847827,16295.0,16297.61831934554,ok,0.0005369501510123535,0.0025302315681924653,14508.727045595451,ok,-19.526186569217316,63.99572411744657,-0.028371857324938788,-16.454002757616763,61.396436857297246,-0.023907925749270587,,,0.0032809664999374553
72,6,9.886816666666666,Forward,0.5508158534628769,16295.0,16298.145496362891,ok,0.0005482842675051543,0.00207091475223402,14509.157522294978,ok,-18.99900955186604,63.99649011397479,-0.027605860796724894,-16.023526058090283,61.397062346737144,-0.02328243630936479,,,0.0032809664999374553
73,6,10.02215,Forward,0.550290232543144,16300.0,16298.520278854552,ok,0.0005422341663013524,0.0027708020346469964,14509.460380003062,ok,-18.624227060205158,63.99703467885148,-0.02706129592003511,-15.720668350006235,61.3975024037679,-0.02284237927861488,,,0.0032809664999374553
74,6,10.157716666666667,Forward,0.5499749230029028,16295.0,16298.896553592787,ok,0.0005373315759299543,0.0031456727231463696,14510.133825260133,ok,-18.247952321969933,63.99758141198599,-0.026514562785516237,-15.047223092935383,61.39848093035741,-0.02186385268910187,,,0.0032809664999374553
75,6,10.292233333333334,Forward,0.5495192599027595,16300.0,16299.28733912525,ok,0.0005408526666985602,0.0030154863292999397,14510.020751840433,ok,-17.857166789506664,63.998149229533595,-0.025946745237917002,-15.160296512634886,61.39831663289361,-0.02202815015289927,,,0.0032809664999374553
