time_min,window_start_min,samples,dSPR,dTIR,dWeightedTIR,dCorrected,SPRHalfWidth95,TIRHalfWidth95,CorrectedHalfWidth95,CorrectedLow95,CorrectedHigh95,identity_error,equivalent_slope,sustained_plateau,corrected_response_mdeg,T_after_injection_min,s_after_arrival50_min,u_tail_age_over_tau,normalized_tail_response
44.660183333333336,42.76425,15,4.373958766474971,2.606579808398237,3.273871163994498,1.1000876024695572,0.4983828490844624,0.290942203566126,0.3471054018409069,0.7529822006286503,1.447193004310464,-1.0915268688904687e-11,False,False,119.82271167141516,8.24805,3.7769134456318696,0.89697411491257,0.5680925834702798
44.79443333333333,42.90081666666666,15,4.106339116100571,2.487859810189548,3.124758530852546,0.9815805852485936,0.3431852783884834,0.2984074986159558,0.3107447020386578,0.6708358832099359,1.2923252872872515,5.684341886080801e-13,False,False,119.85514816071736,8.382299999999994,3.911163445631864,0.9287298418120365,0.5696152085500342
44.93001666666667,43.035833333333336,15,3.8474972235853775,2.43267772242325,3.055449682021206,0.7920475415680812,0.2211851881458501,0.2871366491726165,0.3769990884030663,0.4150484531650149,1.1690466299711475,3.908873225100251e-12,False,False,119.42532327097796,8.51788333333333,4.0467467789652005,0.9608009576813323,0.5494384825510363
45.06505,43.17146666666667,15,3.789668585413892,2.4077913261935464,3.024192302243437,0.7654762831698463,0.1728741989705784,0.2827303952634722,0.4477495345089575,0.3177267486608888,1.2132258176788038,-6.088463067044358e-13,False,False,119.913902567514,8.652916666666663,4.181780112298533,0.9927419756005735,0.5723732423341833
45.2009,43.3073,15,3.8416432491358137,2.284741483341349,2.8696413727265635,0.9720018764069208,0.1726396926220442,0.1988152317259834,0.3371908270270024,0.6348110493799185,1.3091927034339237,-2.3292479056635784e-12,False,False,120.42761207478544,8.78876666666666,4.317630112298531,1.0248761692638335,0.5964876578059821
45.335683333333336,43.44291666666667,15,3.840742989566934,2.152330998200341,2.703333451627437,1.1374095379469509,0.1841387709498922,0.1183068534081705,0.2996670237093517,0.8377425142375992,1.4370765616563026,7.454481476543151e-12,False,False,120.59629090404268,8.923549999999999,4.452413445631869,1.0567580517512334,0.6044057346810051
45.46996666666666,43.57848333333333,15,3.861159162530385,2.123939191147656,2.6676732665435203,1.193485895989852,0.2317724502298064,0.1318611073501382,0.3492516503708303,0.8442342456190217,1.5427375463606825,2.9878322038712213e-12,False,False,120.78474095849742,9.05783333333332,4.586696778965191,1.0885216633749444,0.613251907166584
45.60503333333333,43.714333333333336,15,3.841179700946668,2.0876287097635213,2.6220672054625336,1.219112495481113,0.1940360815426111,0.171287622636245,0.3855141848873908,0.8335983105937221,1.604626680368504,-3.021582983819826e-12,False,False,121.77064397253343,9.192899999999995,4.721763445631865,1.120470566018433,0.6595319050230392
45.74086666666667,43.84936666666667,15,3.8951918007514905,2.405514100621076,3.021332100874732,0.8738596998841786,0.226874426020916,0.4490374243172433,0.4733100265876712,0.4005496732965073,1.3471697264718498,7.419398428964996e-12,False,False,119.33653744597176,9.328733333333332,4.857596778965203,1.1526008173195719,0.5452707218966193
45.87511666666666,43.98466666666667,15,3.949119319695456,2.6739406798005803,3.3584765974268973,0.5906427222817001,0.2670478172953057,0.644793917701187,0.63243135517762,-0.0417886328959198,1.22307407745932,1.3141931987092905e-11,False,False,119.59984540698132,9.462983333333327,4.991846778965197,1.1843565442190385,0.5576308543818871
46.01018333333333,44.11945,15,4.142616703218664,2.804037633744884,3.5218787171968287,0.6207379860384208,0.3358317625369055,0.5012660354087287,0.4283088325255512,0.1924291535128696,1.049046818563972,1.658539972027029e-11,False,False,121.12121429611943,9.598049999999994,5.126913445631864,1.2163054468625256,0.6290465493597888
46.14521666666667,44.25533333333333,15,4.33461887989688,2.883279493467853,3.6214067035229975,0.7132121763797841,0.3802018465250426,0.3852184761858784,0.3833593840061055,0.3298527923736786,1.0965715603858897,5.901945598907332e-12,False,False,121.29695832261132,9.733083333333333,5.2619467789652035,1.2482464647817684,0.6372962788499473
46.28053333333333,44.390366666666665,15,4.51206038097007,2.8473118863585114,3.576231293442031,0.9358290875256898,0.4837663967963014,0.3353066688926114,0.537354444310464,0.3984746432152258,1.473183531836154,-2.3487878308969808e-12,False,False,122.02572060774035,9.868399999999994,5.397263445631864,1.2802545028570966,0.6715056447951511
46.416133333333335,44.52486666666667,15,4.785238332071458,2.827116094686062,3.550865325449245,1.2343730066131684,0.4891895771029811,0.3216556905077937,0.7079072017225934,0.526465804890575,1.9422802083357615,-9.044764937016224e-12,False,False,122.7381882470545,10.003999999999998,5.532863445631868,1.3123295610885155,0.7049501117973056
