repeat,index,time_min,latency_ms
1,382,51.82311666666666,35.1111
1,383,51.95926666666666,53.5264
1,384,52.09458333333333,64.0886
1,385,52.23068333333333,31.2205
1,386,52.36573333333333,31.5031
1,387,52.50131666666667,31.6298
1,388,52.63635,30.0836
1,389,52.7722,30.8397
1,390,52.90725,32.4129
1,391,53.04255,33.7472
1,392,53.17733333333333,30.6748
1,393,53.313183333333335,33.2585
1,394,53.44821666666667,31.4801
1,395,53.58273333333333,31.2544
1,396,53.7183,31.9189
1,397,53.85308333333333,31.8206
1,398,53.98918333333334,31.6237
1,399,54.12505,30.9591
1,400,54.25983333333333,30.4924
1,401,54.39463333333333,29.9825
1,402,54.53021666666667,31.9323
1,403,54.66578333333333,32.8814
1,404,54.80056666666667,31.9385
1,405,54.93505,33.3457
1,406,55.0701,34.2288
1,407,55.20486666666667,32.6112
1,408,55.34045,32.8782
1,409,55.475233333333335,32.8044
1,410,55.6108,34.3238
1,411,55.74638333333333,32.5631
1,412,55.8809,33.1714
1,413,56.0162,33.887
1,414,56.15125,33.3515
1,415,56.28628333333333,34.4206
1,416,56.42106666666667,37.207
1,417,56.55583333333333,36.9584
1,418,56.69146666666666,35.0097
1,419,56.8265,36.2232
1,420,56.96208333333333,34.8165
1,421,57.097116666666665,35.6923
1,422,57.23243333333333,34.8007
1,423,57.36725,34.5576
1,424,57.50205,35.2758
1,425,57.6379,38.7043
1,426,57.77268333333333,37.0018
1,427,57.90773333333333,34.9015
2,351,47.63235,43.8997
2,352,47.7674,45.7557
2,353,47.90298333333333,42.3013
2,354,48.0383,41.79
2,355,48.17333333333333,38.2178
2,356,48.30811666666666,47.2486
2,357,48.44343333333333,43.3209
2,358,48.57848333333333,42.3787
2,359,48.71353333333333,40.685
2,360,48.84911666666667,41.2362
2,361,48.98441666666667,39.5537
2,362,49.11891666666666,37.4339
2,363,49.25395,39.403
2,364,49.38978333333333,36.0308
2,365,49.52455,36.3163
2,366,49.65958333333333,35.9245
2,367,49.7941,34.1532
2,368,49.9294,33.8726
2,369,50.0647,31.0437
2,370,50.19973333333333,34.4552
2,371,50.33505,34.8932
2,372,50.46983333333333,33.0932
2,373,50.60566666666666,32.8269
2,374,50.741,34.2535
2,375,50.87656666666667,31.6393
2,376,51.011633333333336,32.8647
2,377,51.14613333333333,30.5336
2,378,51.28145,32.7172
2,379,51.41623333333333,33.3975
2,380,51.552083333333336,32.9298
2,381,51.68728333333333,36.5086
2,382,51.82311666666666,31.9979
2,383,51.95926666666666,35.9514
2,384,52.09458333333333,36.2635
2,385,52.23068333333333,33.5941
2,386,52.36573333333333,32.7156
2,387,52.50131666666667,31.7933
2,388,52.63635,32.7659
2,389,52.7722,32.4365
2,390,52.90725,31.786
2,391,53.04255,31.6309
2,392,53.17733333333333,32.2769
2,393,53.313183333333335,32.8301
2,394,53.44821666666667,32.3449
2,395,53.58273333333333,32.813
2,396,53.7183,33.1113
2,397,53.85308333333333,32.6546
2,398,53.98918333333334,32.0841
2,399,54.12505,32.4854
2,400,54.25983333333333,31.799
2,401,54.39463333333333,30.5673
2,402,54.53021666666667,34.4617
2,403,54.66578333333333,32.2066
2,404,54.80056666666667,32.2745
2,405,54.93505,34.4086
2,406,55.0701,32.2482
2,407,55.20486666666667,32.9391
2,408,55.34045,32.2229
2,409,55.475233333333335,33.4729
2,410,55.6108,33.1657
2,411,55.74638333333333,33.0288
2,412,55.8809,34.3066
2,413,56.0162,34.6813
2,414,56.15125,34.8253
2,415,56.28628333333333,35.2715
2,416,56.42106666666667,39.5603
2,417,56.55583333333333,39.8345
2,418,56.69146666666666,34.6856
2,419,56.8265,34.2869
2,420,56.96208333333333,36.6536
2,421,57.097116666666665,32.4002
2,422,57.23243333333333,35.8198
2,423,57.36725,34.8793
2,424,57.50205,34.9197
2,425,57.6379,36.0638
2,426,57.77268333333333,37.8061
2,427,57.90773333333333,36.6753
